Date,Price,Open,High,Low,Vol.,Change %
17-Oct-13,"1,291.63","1,276.38","1,295.50","1,274.88",-,1.09%
16-Oct-13,"1,277.75","1,266.88","1,279.38","1,266.13",-,0.87%
15-Oct-13,"1,266.75","1,271.13","1,276.63","1,264.63",-,-0.38%
14-Oct-13,"1,271.63","1,262.88","1,279.88","1,261.88",-,0.30%
11-Oct-13,"1,267.88","1,285.38","1,287.88","1,266.38",-,-1.51%
10-Oct-13,"1,287.38","1,286.88","1,301.88","1,285.63",-,0.05%
9-Oct-13,"1,286.75","1,287.13","1,292.88","1,281.63",-,-0.16%
8-Oct-13,"1,288.88","1,296.75","1,305.63","1,283.88",-,-0.51%
7-Oct-13,"1,295.50","1,293.88","1,304.75","1,288.63",-,-0.05%
4-Oct-13,"1,296.13","1,286.38","1,297.88","1,280.13",-,0.77%
3-Oct-13,"1,286.25","1,273.63","1,289.50","1,271.38",-,0.92%
2-Oct-13,"1,274.50","1,268.38","1,281.63","1,263.88",-,0.46%
1-Oct-13,"1,268.63","1,278.38","1,278.63","1,263.63",-,-1.00%
30-Sep-13,"1,281.38","1,310.88","1,316.88","1,281.38",-,-2.94%
27-Sep-13,"1,320.25","1,316.13","1,327.50","1,311.75",-,0.22%
26-Sep-13,"1,317.38","1,320.63","1,322.50","1,311.38",-,-0.34%
25-Sep-13,"1,321.88","1,311.88","1,327.63","1,306.63",-,0.73%
24-Sep-13,"1,312.25","1,306.25","1,322.63","1,305.50",-,0.32%
23-Sep-13,"1,308.13","1,308.50","1,317.38","1,305.63",-,-0.61%
20-Sep-13,"1,316.13","1,339.75","1,340.00","1,311.88",-,-1.78%
19-Sep-13,"1,340.00","1,353.38","1,361.13","1,331.75",-,-0.58%
18-Sep-13,"1,347.88","1,341.63","1,349.63","1,335.13",-,0.46%
17-Sep-13,"1,341.75","1,349.25","1,366.38","1,332.13",-,-0.49%
16-Sep-13,"1,348.38","1,372.63","1,375.13","1,343.38",-,-2.42%
13-Sep-13,"1,381.88","1,397.50","1,399.88","1,380.88",-,-1.11%
12-Sep-13,"1,397.38","1,358.88","1,398.13","1,341.63",-,2.87%
11-Sep-13,"1,358.38","1,357.00","1,361.38","1,348.88",-,0.15%
10-Sep-13,"1,356.38","1,347.38","1,363.13","1,340.63",-,0.08%
9-Sep-13,"1,355.25","1,380.75","1,383.88","1,351.38",-,-1.05%
6-Sep-13,"1,369.63","1,368.63","1,377.13","1,358.88",-,0.14%
5-Sep-13,"1,367.75","1,355.38","1,367.75","1,335.13",-,1.13%
4-Sep-13,"1,352.50","1,386.25","1,387.00","1,341.88",-,-2.41%
3-Sep-13,"1,385.88","1,393.88","1,408.38","1,379.00",-,2.17%
30-Aug-13,"1,356.38","1,369.38","1,369.38","1,346.13",-,-0.93%
29-Aug-13,"1,369.13","1,376.00","1,382.38","1,361.50",-,-0.38%
28-Aug-13,"1,374.38","1,373.38","1,387.75","1,362.38",-,0.09%
27-Aug-13,"1,373.13","1,386.88","1,409.38","1,368.63",-,-1.19%
26-Aug-13,"1,389.63","1,349.00","1,398.13","1,348.63",-,1.96%
23-Aug-13,"1,362.88","1,326.63","1,368.75","1,326.63",-,2.96%
22-Aug-13,"1,323.75","1,327.63","1,341.88","1,316.63",-,-0.52%
21-Aug-13,"1,330.63","1,308.25","1,335.63","1,304.38",-,1.63%
20-Aug-13,"1,309.25","1,321.63","1,326.63","1,304.13",-,-0.97%
19-Aug-13,"1,322.13","1,297.25","1,323.00","1,297.25",-,3.03%
16-Aug-13,"1,283.25","1,287.88","1,295.38","1,282.88",-,-0.45%
15-Aug-13,"1,289.00","1,272.63","1,293.75","1,271.00",-,1.61%
14-Aug-13,"1,268.63","1,256.38","1,270.88","1,243.38",-,0.85%
13-Aug-13,"1,257.88","1,254.25","1,268.88","1,252.50",-,0.11%
12-Aug-13,"1,256.50","1,222.88","1,258.50","1,216.75",-,3.02%
9-Aug-13,"1,219.63","1,227.88","1,240.88","1,216.13",-,-0.70%
8-Aug-13,"1,228.25","1,199.13","1,232.88","1,198.88",-,2.42%
7-Aug-13,"1,199.25","1,192.88","1,208.63","1,192.63",-,0.43%
6-Aug-13,"1,194.13","1,207.50","1,209.88","1,192.63",-,-1.20%
5-Aug-13,"1,208.63","1,211.13","1,214.38","1,186.88",-,-0.27%
2-Aug-13,"1,211.88","1,234.88","1,247.75","1,208.13",-,-1.89%
1-Aug-13,"1,235.25","1,247.63","1,252.25","1,230.50",-,-0.96%
31-Jul-13,"1,247.25","1,247.63","1,253.63","1,237.50",-,-0.05%
30-Jul-13,"1,247.88","1,271.88","1,279.88","1,247.88",-,-1.92%
29-Jul-13,"1,272.25","1,271.38","1,276.13","1,257.13",-,-5.76%
26-Jul-13,"1,350.00","1,351.75","1,360.25","1,330.88",-,-0.27%
25-Jul-13,"1,353.63","1,385.63","1,396.25","1,348.75",-,-2.78%
24-Jul-13,"1,392.38","1,459.63","1,466.50","1,392.25",-,-4.74%
23-Jul-13,"1,461.63","1,514.38","1,526.13","1,460.88",-,-3.88%
22-Jul-13,"1,520.63","1,493.50","1,525.25","1,487.00",-,2.06%
19-Jul-13,"1,489.88","1,470.13","1,492.63","1,470.13",-,1.21%
18-Jul-13,"1,472.00","1,475.00","1,477.38","1,458.75",-,-0.46%
17-Jul-13,"1,478.88","1,475.38","1,481.25","1,464.88",-,0.27%
16-Jul-13,"1,474.88","1,456.75","1,487.38","1,453.38",-,1.51%
15-Jul-13,"1,453.00","1,422.63","1,457.88","1,419.75",-,1.74%
12-Jul-13,"1,428.13","1,473.88","1,477.75","1,427.75",-,-3.12%
11-Jul-13,"1,474.13","1,463.75","1,476.00","1,460.63",-,0.56%
10-Jul-13,"1,465.88","1,466.75","1,478.88","1,462.38",-,-0.08%
9-Jul-13,"1,467.00","1,456.25","1,479.13","1,452.50",-,0.76%
8-Jul-13,"1,455.88","1,430.25","1,459.13","1,426.75",-,1.66%
5-Jul-13,"1,432.13","1,441.13","1,443.13","1,431.88",-,-0.66%
4-Jul-13,"1,441.63","1,441.63","1,441.63","1,441.63",-,0.00%
3-Jul-13,"1,441.63","1,434.00","1,449.88","1,433.38",-,0.50%
2-Jul-13,"1,434.50","1,434.75","1,444.88","1,430.38",-,-0.05%
1-Jul-13,"1,435.25","1,427.13","1,453.63","1,420.63",-,0.41%
28-Jun-13,"1,429.38","1,429.63","1,446.25","1,413.00",-,-0.16%
27-Jun-13,"1,431.63","1,424.13","1,436.88","1,421.50",-,0.38%
26-Jun-13,"1,426.25","1,427.75","1,432.25","1,420.38",-,-0.18%
25-Jun-13,"1,428.88","1,422.00","1,433.13","1,417.13",-,0.48%
24-Jun-13,"1,422.00","1,404.50","1,422.25","1,401.50",-,-4.66%
21-Jun-13,"1,491.50","1,497.38","1,505.50","1,489.00",-,-0.53%
20-Jun-13,"1,499.50","1,520.88","1,521.88","1,496.00",-,-1.31%
19-Jun-13,"1,519.38","1,512.75","1,526.88","1,505.38",-,0.45%
18-Jun-13,"1,512.63","1,511.88","1,529.88","1,510.13",-,0.01%
17-Jun-13,"1,512.50","1,508.75","1,519.13","1,493.38",-,-0.27%
14-Jun-13,"1,516.63","1,508.25","1,521.88","1,506.13",-,0.47%
13-Jun-13,"1,509.50","1,540.38","1,543.50","1,506.63",-,-1.97%
12-Jun-13,"1,539.88","1,540.25","1,558.50","1,531.63",-,-0.15%
11-Jun-13,"1,542.13","1,515.63","1,542.13","1,515.13",-,1.85%
10-Jun-13,"1,514.13","1,522.88","1,525.88","1,502.63",-,-0.76%
7-Jun-13,"1,525.75","1,528.75","1,541.75","1,521.63",-,-0.22%
6-Jun-13,"1,529.13","1,532.88","1,534.25","1,519.38",-,-0.16%
5-Jun-13,"1,531.63","1,528.75","1,548.63","1,523.38",-,0.12%
4-Jun-13,"1,529.75","1,531.50","1,532.88","1,518.25",-,-0.20%
3-Jun-13,"1,532.75","1,509.38","1,540.63","1,509.38",-,1.50%
31-May-13,"1,510.13","1,496.63","1,522.25","1,496.25",-,1.00%
30-May-13,"1,495.13","1,502.13","1,507.63","1,487.38",-,-0.49%
29-May-13,"1,502.50","1,505.75","1,518.88","1,490.13",-,-0.39%
28-May-13,"1,508.38","1,475.13","1,527.38","1,475.13",-,2.25%
24-May-13,"1,475.25","1,491.50","1,505.63","1,471.63",-,-1.24%
23-May-13,"1,493.75","1,492.75","1,546.38","1,487.75",-,-0.04%
22-May-13,"1,494.38","1,476.88","1,494.63","1,470.88",-,1.06%
21-May-13,"1,478.75","1,461.50","1,478.88","1,456.50",-,0.93%
20-May-13,"1,465.13","1,446.63","1,465.38","1,443.63",-,1.15%
17-May-13,"1,448.50","1,426.75","1,449.13","1,424.38",-,1.36%
16-May-13,"1,429.13","1,413.13","1,430.88","1,408.38",-,1.08%
15-May-13,"1,413.88","1,415.25","1,422.63","1,402.63",-,-0.18%
14-May-13,"1,416.38","1,418.75","1,425.63","1,405.13",-,-0.22%
13-May-13,"1,419.50","1,394.75","1,422.88","1,394.00",-,1.49%
10-May-13,"1,398.63","1,407.50","1,419.38","1,390.50",-,-0.76%
9-May-13,"1,409.38","1,390.13","1,409.38","1,387.25",-,1.29%
8-May-13,"1,391.38","1,382.75","1,402.88","1,379.25",-,0.64%
7-May-13,"1,382.50","1,369.13","1,383.88","1,367.63",-,1.04%
6-May-13,"1,368.25","1,381.75","1,394.63","1,366.38",-,-1.38%
3-May-13,"1,387.38","1,372.63","1,399.63","1,372.38",-,0.98%
2-May-13,"1,373.88","1,373.38","1,383.13","1,368.13",-,0.09%
